コナグー,アイスクリーム,水,コーヒー牛乳,プリン,牛乳,シロップ,茶,ヨーグルト,ゼリー,リンゴジュース,オレンジジュース,スポーツドリンク,離乳食
アイビーディドライシロップ,-,〇,-,-,-,-,-,〇,-,〇,〇,〇,×
アストリックドライシロップ,〇,〇,-,〇,〇,〇,〇,〇,〇,〇,〇,〇,×
アスピリン,-,-,-,-,-,-,-,-,-,-,-,-,×
アスベリン酸,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,〇,〇,×
アセトアミノフェン原末,〇,×,×,×,×,×,×,〇,×,×,×,×,×
アタラックス-Pドライシロップ,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×
アドソルビン原末,〇,×,×,〇,×,×,×,〇,×,×,×,×,×
アレジオンドライシロップ,〇,〇,-,-,〇,-,-,〇,-,-,-,-,×
イーケプラドライシロップ,-,-,-,-,-,-,-,-,-,-,-,-,×
インタール細粒,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×
エリスロマイシンドライシロップ,〇,×,〇,〇,〇,×,×,×,×,×,×,×,×
オゼックス細粒,〇,〇,-,〇,×,-,-,×,×,〇,×,×,×
オノンドライシロップ,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×
オラペネム細粒,〇,〇,-,〇,〇,-,〇,×,×,×,×,×,×
カルボシステインドライシロップ,×,-,×,-,〇,-,×,〇,-,〇,〇,〇,×
キプレス細粒,-,-,-,-,-,-,-,-,-,-,-,-,×
クラバモックスドライシロップ,〇,-,-,〇,×,-,-,〇,-,-,〇,-,×
クラリスドライシロップ,〇,×,〇,〇,×,×,×,×,×,×,×,×,×
クラリチンドライシロップ,〇,〇,〇,〇,〇,-,-,〇,-,-,-,×,×
ケフラール細粒,×,×,〇,〇,×,〇,×,〇,×,×,×,×,×
ザジテンドライシロップ,〇,×,〇,〇,×,〇,×,×,〇,×,×,〇,×
ジスロマック細粒,〇,〇,〇,〇,〇,〇,〇,×,〇,×,×,×,×
重質酸化マグネシウム,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×
セフゾン細粒,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×
タミフルドライシロップ,〇,×,×,×,×,×,×,〇,×,×,〇,〇,×
タンニン酸アルブミン,〇,×,×,〇,×,〇,×,〇,×,×,×,×,×
トランサミン散,〇,×,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×
ナウゼリンドライシロップ,〇,〇,〇,〇,〇,〇,×,×,×,×,×,×,×
ノイチーム顆粒,〇,×,〇,〇,〇,×,×,〇,×,×,〇,×,×
バナンドライシロップ,〇,×,〇,×,×,〇,〇,〇,〇,〇,〇,〇,×
ビオスリー配合散,-,-,-,-,-,-,-,-,-,-,-,-,×
ビオフェルミンR散,〇,×,,〇,〇,〇,×,〇,×,〇,〇,〇,×
フェロミア顆粒,-,-,-,-,-,-,-,-,-,-,-,-,×
プレドニゾロン散,〇,-,-,×,×,-,-,×,〇,〇,〇,〇,×
フロモックス細粒,◎,〇,-,-,◎,-,◎,◎,-,△,△,-,×
ベラチンドライシロップ,-,-,-,-,-,-,-,-,-,-,-,-,×
ペリアクチン散,〇,×,〇,〇,〇,×,×,×,×,×,×,×,×
ホスミシンドライシロップ,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,〇,〇,×
ホスリボン配合顆粒,-,-,-,-,-,-,-,-,-,-,-,-,×
ミヤBM細粒,〇,×,-,-,〇,-,〇,〇,-,〇,〇,〇,×
ミルラクト細粒,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×
ムコサールドライシロップ,〇,〇,〇,×,〇,〇,〇,〇,×,×,×,×,×
メイアクトMS細粒,〇,×,-,〇,×,×,×,×,×,〇,×,×,×
ユナシン細粒,〇,×,×,〇,×,〇,〇,×,〇,×,×,×,×
ラックビー微粒N,〇,〇,〇,〇,〇,〇,×,〇,×,〇,〇,〇,×
リン酸水素カルシウム水和物,-,-,-,-,-,-,-,-,-,-,-,-,×
ロートエキス酸,-,-,-,-,-,-,-,-,-,-,-,-,×
ロペミン小児用細粒,〇,〇,〇,〇,〇,〇,〇,×,×,×,×,×,×
ワイドシリン細粒,〇,〇,〇,〇,〇,〇,×,〇,〇,〇,〇,〇,×
